Year,cotton,alfalfa,corn,barley,durum,veg,rest
1991,0.299497797,0.191222889,0.038903772,0.055103809,0.046641307,0.070433077,0.298197348
1992,0.41936536,0.156049976,0.018434169,0.033814292,0.063454703,0.089736564,0.219144936
1993,0.432534584,0.17361295,0.021325127,0.043014455,0.059329127,0.09190425,0.178279507
1994,0.406431426,0.184985714,0.027474164,0.055823587,0.096744959,0.0878887,0.140651449
1995,0.462925368,0.210460251,0.033530819,0.041880892,0.103768163,0.084061691,0.063372816
1996,0.373238854,0.186594626,0.055186994,0.069810011,0.127885122,0.075490781,0.111793612
1997,0.356142212,0.208113393,0.067189883,0.087745656,0.092391263,0.074038027,0.114379566
1998,0.329620194,0.19990088,0.045074495,0.065086903,0.07601844,0.075962972,0.208336116
1999,0.345843229,0.190863886,0.042251791,0.055840486,0.056384409,0.073704458,0.235111742
2000,0.283759951,0.23662791,0.057979311,0.062340525,0.063513158,0.06737353,0.228405615
2001,0.250367148,0.291755677,0.066216237,0.058223003,0.089026341,0.071842224,0.172569371
2002,0.230654059,0.300878924,0.07731124,0.072672424,0.0573131,0.074984088,0.186186165
2003,0.16586632,0.375242971,0.079558318,0.062547985,0.098122686,0.070499594,0.148162127
2004,0.211977178,0.327419978,0.072006791,0.050707993,0.064015666,0.086363638,0.187508755
2005,0.169683806,0.341419063,0.07255657,0.062144798,0.104499981,0.076527745,0.173168037
2006,0.166411587,0.356472244,0.059995786,0.059909512,0.0429754,0.076815441,0.23742003
2007,0.11498228,0.388652417,0.072679037,0.068172977,0.089782158,0.079202221,0.186528911
2008,0.102919586,0.465794544,0.066417499,0.071359384,0.081333777,0.076219811,0.135955399
2009,0.135808067,0.389340228,0.0499282,0.051533152,0.122586384,0.096057172,0.154746797
2010,0.154319921,0.418162461,0.071207167,0.059345481,0.054982175,0.071697433,0.170285362
2011,0.277551485,0.380857382,0.056803109,0.11770966,0.042760571,0.072715451,0.051602342
2012,0.143467609,0.459567498,0.092306347,0.103654973,0.055083397,0.06507192,0.080848256
2013,0.154286291,0.300758042,0.079472089,0.123644076,0.053464041,0.077433652,0.21094181
2014,0.092655684,0.431782476,0.074726247,0.066269671,0.081751387,0.093651492,0.159163042
2015,0.055522994,0.559955701,0.06240719,0.028758633,0.116630911,0.096032765,0.080691806
2016,0.050733185,0.583105513,0.094552925,0.022672669,0.077430111,0.098098811,0.073406787
2017,0.154475437,0.523381624,0.069676052,0.025757914,0.044370303,0.133173401,0.049165269
2018,0.106825792,0.537556415,0.101055572,0.039064124,0.042259642,0.124751666,0.048486789
2019,0.180985261,0.316102238,0.107749277,0.114340389,0.10479721,0.083748804,0.092276821
2020,0.247566939,0.247302714,0.102714073,0.147101869,0.107922859,0.074365901,0.073025645
2021,0.116179269,0.415688649,0.091794903,0.076559069,0.096459996,0.098754456,0.104563658
2022,0.049610479,0.477956914,0.102289041,0.075055673,0.129136431,0.073419278,0.092532184
2023,0.042781009,0.545043116,0.091874077,0.05028391,0.117690641,0.087006783,0.065320464
2024,0.056190623,0.473328075,0.112373529,0.082749722,0.102453593,0.081933575,0.090970883
2025,0.03742789,0.506578309,0.105143676,0.0767518,0.125924987,0.071552728,0.07662061
2026,0.117138649,0.396255218,0.095019134,0.112792311,0.096563266,0.091487307,0.090744115
2027,0.061450148,0.48735255,0.105601012,0.085810889,0.089363789,0.091465239,0.078956374
2028,0.061330411,0.484692886,0.11216359,0.095190657,0.09061768,0.088661292,0.067343484
2029,0.062086388,0.434148237,0.110975405,0.131918294,0.098631822,0.075405136,0.08683472
2030,0.024430473,0.572624336,0.107174816,0.067268209,0.100164464,0.080013342,0.04832436
2031,0.041168105,0.483525662,0.117830532,0.119330586,0.085529769,0.076897324,0.075718022
2032,0.045301779,0.506396774,0.123808782,0.10901511,0.07223466,0.088421263,0.054821632
2033,0.057033791,0.416425396,0.131960371,0.181443323,0.080613891,0.070586767,0.061936461
2034,0.077728847,0.445338885,0.141711788,0.153421925,0.069647123,0.086971992,0.025179441
2035,0.03162892,0.553018729,0.122155204,0.099736551,0.059667087,0.093208518,0.040584991
2036,0.109157728,0.260080898,0.119374022,0.330308466,0.07259812,0.055120763,0.053360003
2037,0.014541329,0.554455955,0.128696388,0.119274529,0.070557711,0.069425184,0.043048903
2038,0.028189003,0.503129094,0.120201155,0.165387386,0.061124352,0.074522076,0.047446933
2039,0.034208815,0.46971625,0.124408186,0.199991605,0.056311986,0.073030497,0.042332661
2040,0.028925626,0.465632276,0.137483152,0.213384375,0.053587215,0.06808429,0.032903067
2041,0.02431086,0.421547189,0.14335606,0.265761423,0.054584817,0.054827089,0.035612561
2042,0.034779056,0.526015668,0.129766077,0.157963276,0.030830134,0.101940487,0.018705302
2043,0.051253953,0.485973444,0.134600699,0.186287764,0.029379342,0.102095096,0.010409703
2044,0.00910702,0.549743333,0.120146816,0.18297077,0.046625488,0.064201491,0.027205082
2045,0.014722999,0.451467601,0.137438401,0.277549844,0.036941493,0.056132565,0.025747097
2046,0.009891314,0.490147176,0.13196993,0.250212568,0.032738949,0.059070732,0.025969332
2047,0.005434099,0.5373488,0.130758919,0.211478634,0.034878364,0.059836744,0.020264441
2048,0.00928546,0.470995999,0.128206525,0.285545321,0.024125517,0.058260323,0.023580855
2049,0.007869775,0.522867131,0.134771544,0.226239681,0.017023534,0.076357214,0.014871121
2050,0.0086509,0.506322089,0.129872226,0.252581913,0.015401076,0.074666705,0.012505092
